[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2013-10-17 10:28:12] EDIT Intro2DB/models/db.py: 48
[2013-10-17 10:28:30] EDIT Intro2DB/controllers/default.py: 48
[2013-10-17 10:31:11] EDIT Intro2DB/views/default/view_customers.html: 0
[2013-10-17 10:32:21] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:32:54] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:33:11] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:35:35] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:40:22] EDIT Intro2DB/controllers/default.py: -1
[2013-10-17 10:40:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:40:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:40:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:40:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:40:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:40:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:41:59] EDIT Intro2DB/models/db.py: 0
[2013-10-17 10:42:28] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:42:29] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:44:15] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:46:18] EDIT Intro2DB/controllers/default.py: 1
[2013-10-17 10:46:21] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 10:49:11] EDIT Intro2DB/views/default/add_items_to_bill.html: -1
[2013-10-17 10:49:57] EDIT Intro2DB/views/default/add_items_to_bill.html: 2
[2013-10-17 10:52:04] EDIT Intro2DB/views/default/add_items_to_bill.html: -2
[2013-10-17 10:53:40] CREATE default/add_item_to_bill.html: 0
[2013-10-17 10:53:47] EDIT Intro2DB/views/default/add_item_to_bill.html: 0
[2013-10-17 10:56:29] EDIT Intro2DB/views/default/add_items_to_bill.html: 1
[2013-10-17 10:56:34] EDIT Intro2DB/views/default/add_items_to_bill.html: 0
[2013-10-17 10:57:08] EDIT Intro2DB/views/default/add_item_to_bill.html: 1
[2013-10-17 10:57:26] EDIT Intro2DB/views/default/add_item_to_bill.html: 0
[2013-10-17 10:58:16] EDIT Intro2DB/views/default/add_item_to_bill.html: 0
[2013-10-17 10:59:43] EDIT Intro2DB/controllers/default.py: 2
[2013-10-17 11:04:54] EDIT Intro2DB/controllers/default.py: 2
[2013-10-17 11:05:28] CREATE default/calc_bill.html: 0
[2013-10-17 11:06:13] EDIT Intro2DB/views/default/calc_bill.html: 1
[2013-10-17 11:06:17] EDIT Intro2DB/views/default/calc_bill.html: 0
[2013-10-17 11:06:25] EDIT Intro2DB/views/default/calc_bill.html: 1
[2013-10-17 11:07:35] EDIT Intro2DB/views/default/calc_bill.html: -1
[2013-10-17 11:10:54] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 11:13:10] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 11:13:46] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 11:18:41] EDIT Intro2DB/views/default/calc_bill.html: -1
[2013-10-17 11:20:46] EDIT Intro2DB/controllers/default.py: 4
[2013-10-17 11:21:07] EDIT Intro2DB/views/default/calc_bill.html: 0
[2013-10-17 11:21:39] EDIT Intro2DB/controllers/default.py: 1
[2013-10-17 11:21:58] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 11:23:07] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:42:42] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:43:24] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:43:53] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:44:26] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:46:41] EDIT Intro2DB/controllers/default.py: 2
[2013-10-17 12:47:05] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:47:28] EDIT Intro2DB/controllers/default.py: -1
[2013-10-17 12:47:32] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:49:38] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:49:57] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:51:41] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:51:49] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:53:02] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:53:49] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 12:57:18] EDIT Intro2DB/views/default/add_item_to_bill.html: 0
[2013-10-17 13:00:00] EDIT Intro2DB/controllers/default.py: 1
[2013-10-17 13:00:05] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 13:00:13] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 13:03:14] EDIT Intro2DB/controllers/default.py: 1
[2013-10-17 13:03:18] EDIT Intro2DB/controllers/default.py: 1
[2013-10-17 13:03:21] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 13:04:00] EDIT Intro2DB/controllers/default.py: 3
[2013-10-17 13:05:16] CREATE default/show_bill.html: 0
[2013-10-17 13:06:09] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-17 13:12:24] EDIT Intro2DB/views/default/show_bill.html: 10
[2013-10-17 13:12:39] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:13:32] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-17 13:13:54] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:33:43] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-17 13:34:08] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-17 13:34:41] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:35:47] EDIT Intro2DB/views/default/show_bill.html: 8
[2013-10-17 13:36:39] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:36:46] EDIT Intro2DB/views/default/show_bill.html: -2
[2013-10-17 13:36:57] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-17 13:37:44] EDIT Intro2DB/views/default/show_bill.html: 5
[2013-10-17 13:39:08] EDIT Intro2DB/views/default/show_bill.html: 2
[2013-10-17 13:39:21] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:40:16] EDIT Intro2DB/views/default/show_bill.html: -2
[2013-10-17 13:40:51] EDIT Intro2DB/views/default/show_bill.html: 5
[2013-10-17 13:42:13] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:43:02] EDIT Intro2DB/views/default/show_bill.html: 3
[2013-10-17 13:43:35] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:44:18] EDIT Intro2DB/views/default/show_bill.html: 8
[2013-10-17 13:51:15] EDIT Intro2DB/views/default/show_bill.html: 8
[2013-10-17 13:54:39] EDIT Intro2DB/views/default/show_bill.html: 3
[2013-10-17 13:54:59] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 13:55:14] EDIT Intro2DB/views/default/show_bill.html: 5
[2013-10-17 13:55:21] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-17 13:55:51] EDIT Intro2DB/views/default/show_bill.html: 4
[2013-10-17 13:56:30] EDIT Intro2DB/views/default/show_bill.html: 2
[2013-10-17 13:57:28] EDIT Intro2DB/controllers/default.py: 1
[2013-10-17 13:57:42] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 13:58:32] EDIT Intro2DB/controllers/default.py: 0
[2013-10-17 14:00:40] EDIT Intro2DB/views/default/show_bill.html: 16
[2013-10-17 14:01:11] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-17 14:01:31] EDIT Intro2DB/controllers/default.py: 0
[2013-10-21 06:51:07] CREATE default/bills.html: 0
[2013-10-21 06:51:37] EDIT Intro2DB/controllers/default.py: 3
[2013-10-21 06:56:29] EDIT Intro2DB/views/default/bills.html: 8
[2013-10-21 06:57:32] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 06:58:42] EDIT Intro2DB/views/default/bills.html: 3
[2013-10-21 07:00:13] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:01:02] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:08:26] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:09:01] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:09:17] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:09:48] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:10:46] EDIT Intro2DB/views/default/bills.html: 6
[2013-10-21 07:11:04] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:12:01] EDIT Intro2DB/views/default/bills.html: 17
[2013-10-21 07:12:15] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:12:37] EDIT Intro2DB/views/default/bills.html: 2
[2013-10-21 07:12:41] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:12:57] EDIT Intro2DB/views/default/bills.html: -2
[2013-10-21 07:13:13] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:13:25] EDIT Intro2DB/views/default/bills.html: -3
[2013-10-21 07:14:31] EDIT Intro2DB/views/default/bills.html: 1
[2013-10-21 07:15:11] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:16:33] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-21 07:18:59] EDIT Intro2DB/views/default/add_invoice.html: 1
[2013-10-21 07:21:16] EDIT Intro2DB/controllers/default.py: 2
[2013-10-21 07:21:23] EDIT Intro2DB/controllers/default.py: 1
[2013-10-21 07:23:12] CREATE default/view_one_customer.html: 0
[2013-10-21 07:24:41] EDIT Intro2DB/controllers/default.py: 1
[2013-10-21 07:25:45] EDIT Intro2DB/controllers/default.py: 0
[2013-10-21 07:25:58] EDIT Intro2DB/views/default/view_one_customer.html: 0
[2013-10-21 07:26:24] EDIT Intro2DB/views/default/view_one_customer.html: 0
[2013-10-21 07:28:01] EDIT Intro2DB/views/default/view_one_customer.html: 7
[2013-10-21 07:29:07] EDIT Intro2DB/controllers/default.py: 3
[2013-10-21 07:29:39] EDIT Intro2DB/views/default/view_one_customer.html: 3
[2013-10-21 07:30:34] EDIT Intro2DB/controllers/default.py: 2
[2013-10-21 07:31:07] EDIT Intro2DB/controllers/default.py: 1
[2013-10-21 07:32:02] EDIT Intro2DB/controllers/default.py: 0
[2013-10-21 07:34:57] EDIT Intro2DB/views/default/view_one_customer.html: 9
[2013-10-21 07:35:28] EDIT Intro2DB/views/default/view_one_customer.html: 0
[2013-10-21 07:36:14] EDIT Intro2DB/views/default/view_one_customer.html: 2
[2013-10-21 07:40:06] EDIT Intro2DB/views/default/view_one_customer.html: 16
[2013-10-21 07:41:50] EDIT Intro2DB/views/default/view_one_customer.html: 17
[2013-10-21 07:42:12] EDIT Intro2DB/views/default/view_one_customer.html: 0
[2013-10-21 07:43:27] EDIT Intro2DB/views/default/view_one_customer.html: -4
[2013-10-21 07:45:37] EDIT Intro2DB/views/default/view_one_customer.html: 1
[2013-10-21 07:45:38] EDIT Intro2DB/views/default/view_one_customer.html: 0
[2013-10-21 07:47:27] EDIT Intro2DB/controllers/default.py: 3
[2013-10-21 07:53:13] CREATE default/view_product.html: 0
[2013-10-21 07:55:51] EDIT Intro2DB/views/default/view_product.html: 17
[2013-10-21 07:55:57] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 07:56:39] EDIT Intro2DB/controllers/default.py: 0
[2013-10-21 07:57:11] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 07:57:38] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 07:57:39] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 07:57:54] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 07:58:14] EDIT Intro2DB/views/default/view_product.html: 2
[2013-10-21 07:59:13] EDIT Intro2DB/views/default/view_product.html: 8
[2013-10-21 07:59:21] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 08:00:20] EDIT Intro2DB/views/default/view_product.html: 0
[2013-10-21 08:01:25] EDIT Intro2DB/controllers/default.py: 2
[2013-10-21 08:01:32] EDIT Intro2DB/controllers/default.py: 1
[2013-10-21 08:02:11] CREATE default/view_one_dealer.html: 0
[2013-10-21 08:05:46] EDIT Intro2DB/views/default/view_one_dealer.html: 21
[2013-10-21 08:06:43] EDIT Intro2DB/views/default/view_one_dealer.html: 10
[2013-10-21 08:06:48] EDIT Intro2DB/views/default/view_one_dealer.html: 0
[2013-10-21 08:07:08] EDIT Intro2DB/views/default/view_one_dealer.html: 0
[2013-10-21 08:07:22] EDIT Intro2DB/views/default/view_one_dealer.html: 0
[2013-10-21 08:08:22] EDIT Intro2DB/views/default/view_one_dealer.html: 1
[2013-10-21 08:09:04] EDIT Intro2DB/views/default/view_one_dealer.html: 1
[2013-10-21 08:09:15] EDIT Intro2DB/views/default/view_one_dealer.html: 0
[2013-10-21 08:11:31] EDIT Intro2DB/views/default/view_products.html: 0
[2013-10-21 08:13:46] EDIT Intro2DB/views/default/view_dealers.html: 0
[2013-10-21 08:14:52] EDIT Intro2DB/controllers/default.py: 2
[2013-10-21 08:16:05] EDIT Intro2DB/controllers/default.py: -2
[2013-10-21 08:17:09] EDIT Intro2DB/views/default/onepage.html: 5
[2013-10-21 08:18:12] EDIT Intro2DB/views/default/onepage.html: 0
[2013-10-21 08:18:17] EDIT Intro2DB/views/default/onepage.html: 0
[2013-10-21 08:20:32] EDIT Intro2DB/models/db.py: 2
[2013-10-21 08:22:21] EDIT Intro2DB/models/db.py: 0
[2013-10-21 08:24:37] EDIT Intro2DB/models/db.py: -5
[2013-10-21 08:24:38] EDIT Intro2DB/models/db.py: 0
[2013-10-21 08:24:38] EDIT Intro2DB/models/db.py: 0
[2013-10-21 08:24:41] EDIT Intro2DB/models/db.py: 0
[2013-10-21 08:24:56] EDIT Intro2DB/models/db.py: -2
[2013-10-21 08:25:36] EDIT Intro2DB/models/db.py: 0
[2013-10-21 08:31:15] EDIT Intro2DB/controllers/default.py: 0
[2013-10-21 08:32:56] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-21 08:33:28] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-21 08:33:55] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-21 08:34:17] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-21 08:34:25] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-21 08:34:51] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-25 23:01:45] EDIT Intro2DB/controllers/default.py: 10
[2013-10-25 23:02:16] EDIT Intro2DB/controllers/default.py: -1
[2013-10-25 23:02:53] EDIT Intro2DB/controllers/default.py: 0
[2013-10-25 23:04:12] EDIT Intro2DB/controllers/default.py: 0
[2013-10-25 23:04:42] EDIT Intro2DB/controllers/default.py: 0
[2013-10-25 23:05:01] EDIT Intro2DB/controllers/default.py: 0
[2013-10-25 23:06:50] EDIT Intro2DB/controllers/default.py: 0
[2013-10-25 23:08:47] EDIT Intro2DB/controllers/default.py: 0
[2013-10-25 23:09:42] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 10:17:38] EDIT Intro2DB/views/default/show_bill.html: 7
[2013-10-26 10:18:12] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:18:23] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:18:45] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:19:14] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:19:30] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:19:54] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:20:36] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:23:36] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:24:16] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:24:39] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:25:18] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:25:45] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:26:00] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:26:24] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:26:42] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:27:22] CREATE invoice.html: 0
[2013-10-26 10:28:26] EDIT Intro2DB/views/invoice.html: -2
[2013-10-26 10:31:13] EDIT Intro2DB/controllers/default.py: 3
[2013-10-26 10:31:40] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 10:34:48] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 10:35:38] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:35:43] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:36:13] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:37:05] CREATE default/invoice.html: 0
[2013-10-26 10:39:03] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 10:39:17] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 11:00:27] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 11:00:27] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 11:01:46] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 11:02:15] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 11:02:50] EDIT Intro2DB/controllers/default.py: -1
[2013-10-26 11:03:23] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 11:03:28] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 11:06:11] EDIT Intro2DB/controllers/default.py: 4
[2013-10-26 11:07:01] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:02:08] EDIT Intro2DB/controllers/default.py: 28
[2013-10-26 12:02:41] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 12:02:55] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:04:55] EDIT Intro2DB/controllers/default.py: -24
[2013-10-26 12:04:57] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:07:18] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:07:28] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:07:53] EDIT Intro2DB/views/default/invoice.html: -2
[2013-10-26 12:09:30] EDIT Intro2DB/views/default/invoice.html: 77
[2013-10-26 12:09:36] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:10:57] EDIT Intro2DB/controllers/default.py: 3
[2013-10-26 12:11:01] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:11:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:12:10] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:23:41] EDIT Intro2DB/views/default/show_bill.html: 2
[2013-10-26 12:25:52] EDIT Intro2DB/views/default/show_bill.html: -17
[2013-10-26 12:26:38] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:29:38] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:31:59] EDIT Intro2DB/views/default/show_bill.html: 6
[2013-10-26 12:32:52] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-26 12:34:59] EDIT Intro2DB/views/default/show_bill.html: 6
[2013-10-26 12:36:06] EDIT Intro2DB/views/default/show_bill.html: 3
[2013-10-26 12:36:46] EDIT Intro2DB/views/default/show_bill.html: -3
[2013-10-26 12:37:09] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:37:44] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:38:27] EDIT Intro2DB/views/default/show_bill.html: 2
[2013-10-26 12:38:40] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:38:44] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:38:47] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:39:12] EDIT Intro2DB/views/default/show_bill.html: -3
[2013-10-26 12:39:23] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:39:36] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:39:55] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:40:08] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:41:52] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:42:36] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:42:57] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:43:58] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:44:39] EDIT Intro2DB/views/default/invoice.html: 1
[2013-10-26 12:45:32] EDIT Intro2DB/views/default/invoice.html: 1
[2013-10-26 12:45:37] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:50:47] EDIT Intro2DB/views/default/invoice.html: 1
